Method,Arrival_Rate,Mean Waiting Time
FIFO,0.95,14.754428389044625
FIFO,0.95,7.088080735656748
FIFO,0.95,12.074389562573652
FIFO,0.95,34.939177995716236
FIFO,0.95,17.961478393953332
FIFO,0.95,14.592675253326739
FIFO,0.95,9.311439800363894
FIFO,0.95,6.484140075230939
FIFO,0.95,34.60227483820665
FIFO,0.95,6.780073169000114
FIFO,0.95,64.53793436786269
FIFO,0.95,10.221097056494381
FIFO,0.95,12.540299616303026
FIFO,0.95,9.073557825833893
FIFO,0.95,18.192159690259288
FIFO,0.95,10.43240694237627
FIFO,0.95,24.637781003097746
FIFO,0.95,5.604921372842414
FIFO,0.95,4.4868316692143
FIFO,0.95,74.48495211822137
FIFO,0.95,9.400186149528277
FIFO,0.95,36.4424578170385
FIFO,0.95,19.984485010696805
FIFO,0.95,8.516334669766948
FIFO,0.95,6.508934817313007
FIFO,0.95,6.255771125757151
FIFO,0.95,16.97068208330836
FIFO,0.95,8.431943065133948
FIFO,0.95,7.858452209510631
FIFO,0.95,25.73081440065456
FIFO,0.95,7.218353418453256
FIFO,0.95,6.207011378004171
FIFO,0.95,12.296287363760346
FIFO,0.95,8.49487335463172
FIFO,0.95,15.693234475647321
FIFO,0.95,21.907999954289032
FIFO,0.95,9.740833104803752
SJF,0.7,0.6417785252765349
SJF,0.7,0.9374551134920239
SJF,0.7,0.5982646609592089
SJF,0.7,0.3319998680098669
SJF,0.7,0.0218834480611539
SJF,0.7,0.6325597706359639
SJF,0.7,1.211096247761843
SJF,0.7,0.8895516086563365
SJF,0.7,0.8605078755559554
SJF,0.7,0.6173782826513853
SJF,0.7,0.9115283714001748
SJF,0.7,0.5407903192619501
SJF,0.7,0.9886093053056871
SJF,0.7,0.6436608223298048
SJF,0.7,0.4514511513714479
SJF,0.7,0.08624250356584987
SJF,0.7,0.06581131007588642
SJF,0.7,0.930387926574087
SJF,0.7,0.4804317561242278
SJF,0.7,0.38643352790628116
SJF,0.7,0.8377179078856777
SJF,0.7,0.2672004413084107
SJF,0.7,0.36831165301081953
SJF,0.7,0.49660831398505423
SJF,0.7,0.37613574225941004
SJF,0.7,0.3401764367787576
SJF,0.7,0.391075871899654
SJF,0.7,0.4683217672632602
SJF,0.7,0.16438417261861885
SJF,0.7,0.42572454442400887
SJF,0.7,0.36062898009258526
SJF,0.7,0.7103889598372295
SJF,0.7,0.5784028380438275
SJF,0.7,0.6873577096320924
SJF,0.7,0.8845002013020679
SJF,0.7,0.42892540943395613
SJF,0.7,0.4840248486162933
SJF,0.7,0.7109114205216036
SJF,0.7,0.2219893837772653
SJF,0.7,0.8099101227418927
SJF,0.7,0.6910509266065771
SJF,0.7,0.5103186098222813
SJF,0.7,0.7906757129366135
SJF,0.7,1.1381337631592217
SJF,0.7,0.8240137033125653
SJF,0.7,0.4652170929866447
SJF,0.7,0.8346522676372388
SJF,0.7,0.853856264606622
SJF,0.7,0.8608791287378988
SJF,0.7,0.654417978038223
SJF,0.8,0.7403018866773573
SJF,0.8,0.775705632991222
SJF,0.8,0.7554247588063954
SJF,0.8,0.4515838785359333
SJF,0.8,0.562886345854343
SJF,0.8,1.0209817581021512
SJF,0.8,1.1319145931215844
SJF,0.8,0.5710475617071925
SJF,0.8,0.7760706602367193
SJF,0.8,0.4003103483656398
SJF,0.8,0.5174166061543872
SJF,0.8,0.18685898759988026
SJF,0.8,0.6320527249367633
SJF,0.8,0.6093813639131861
SJF,0.8,0.38268489090736246
SJF,0.8,0.5807642567913907
SJF,0.8,0.4395206512132002
SJF,0.8,1.0988157230758682
SJF,0.8,0.4600918059760756
SJF,0.8,1.007150899484628
SJF,0.8,0.2937808379223561
SJF,0.8,1.131445978124829
SJF,0.8,0.4339513123294497
SJF,0.8,0.6004586046748416
SJF,0.8,0.3275638978361275
SJF,0.8,0.4550437742116097
SJF,0.8,1.0277906958361194
SJF,0.8,1.77095434508648
SJF,0.8,1.0231928184198789
SJF,0.8,0.7550010256296819
SJF,0.8,0.12117927663578093
SJF,0.8,0.4228085883582251
SJF,0.8,0.6181550457175845
SJF,0.8,0.43240744498240585
SJF,0.8,0.45858727931641424
SJF,0.8,0.9855219792226305
SJF,0.8,0.5824333748545989
SJF,0.8,0.9853104028973532
SJF,0.8,0.27209191060107285
SJF,0.8,0.8259958461950181
SJF,0.8,0.7306541201090105
SJF,0.8,0.49034004185679364
SJF,0.8,0.5390508050778088
SJF,0.8,1.4030362994601413
SJF,0.8,0.2511175336699431
SJF,0.8,0.39198550543757044
SJF,0.8,1.4885834194928198
SJF,0.8,0.5713930809374896
SJF,0.8,0.7920160399312064
SJF,0.8,0.6459187111059908
SJF,0.9,1.3762179870354343
SJF,0.9,0.1607084658183526
SJF,0.9,0.4345357310374689
SJF,0.9,0.8704533997435501
SJF,0.9,0.5157130534006095
SJF,0.9,0.7681873348096665
SJF,0.9,0.19432862161031628
SJF,0.9,1.1208889767344505
SJF,0.9,0.8594715579653018
SJF,0.9,0.6336377550002408
SJF,0.9,0.418729288849486
SJF,0.9,0.6143772189429269
SJF,0.9,0.945335078392135
